,precision,recall,f1-score,support
0,0.9641434262948207,0.9787004583445673,0.9713674070109714,7418.0
1,0.9823206892693298,0.9701624488893801,0.9762037139997776,9049.0
accuracy,0.9740086233072205,0.9740086233072205,0.9740086233072205,0.9740086233072205
macro avg,0.9732320577820752,0.9744314536169737,0.9737855605053745,16467.0
weighted avg,0.9741322556296318,0.9740086233072205,0.9740250703340846,16467.0
